iter	MultiClass
158	0.1651295224
159	0.1639966824
160	0.1630141868
161	0.1622720676
162	0.161576167
163	0.1606872538
164	0.1598606274
165	0.1591136482
166	0.1585292509
167	0.1575902899
168	0.156614826
169	0.1557278121
170	0.1546780879
171	0.1542361983
172	0.1534956645
173	0.1525866867
174	0.1513543471
175	0.1505609234
176	0.1497211711
177	0.1489150568
178	0.1479338581
179	0.147197886
180	0.146513224
181	0.1457973683
182	0.1449309348
183	0.1438589481
184	0.1432239606
185	0.1425178686
186	0.1417597029
187	0.1412879661
188	0.1405609879
189	0.1396944167
190	0.1390228147
191	0.138294556
192	0.1375999513
193	0.1370548837
194	0.1365253807
195	0.135826819
196	0.1351934807
197	0.13449652
198	0.1338337035
199	0.1333133352
200	0.1323816456
201	0.1318754123
202	0.131262838
203	0.1306191699
204	0.1301577321
205	0.1294247457
206	0.1288629318
207	0.1281175993
208	0.1275865982
209	0.1268462175
210	0.1263580494
211	0.125886457
212	0.1255848251
213	0.124948641
214	0.1241741814
215	0.1238723866
216	0.1234665336
217	0.1229268824
218	0.1223671705
219	0.1219834985
220	0.1214694705
221	0.1209374882
222	0.1204831031
223	0.1200442908
224	0.1195008538
225	0.118890878
226	0.1182926187
227	0.1177976818
228	0.1175319703
229	0.1171596652
230	0.1164806376
231	0.1162196068
232	0.1155782808
233	0.1150521559
234	0.114899171
235	0.1143855028
236	0.1139296097
237	0.1133920547
238	0.1130297886
239	0.1124371799
240	0.1119370006
241	0.1116466155
242	0.1113180916
243	0.1108275128
244	0.1105221329
245	0.1101363942
246	0.1096730459
247	0.1094309486
248	0.1089934868
249	0.1085571777
250	0.1083608608
251	0.1078677543
252	0.1071975527
253	0.1067151353
254	0.1062757274
255	0.1058351508
256	0.1052324177
257	0.1046801002
258	0.1042341701
259	0.1038282715
260	0.1036389898
261	0.1033421546
262	0.1030014823
263	0.1026364048
264	0.1022894013
265	0.1019012301
266	0.1015010097
267	0.1012698979
268	0.1009428924
269	0.1006726196
270	0.1004113703
271	0.100006027
272	0.09975580581
273	0.09945226761
274	0.0991376651
275	0.0989416515
276	0.09859017143
277	0.09826557814
278	0.09777933949
279	0.09741142771
280	0.09705441825
281	0.09685745776
282	0.09664360196
283	0.09634879678
284	0.09595458528
285	0.0955997461
286	0.09532926881
287	0.09493416205
288	0.09464720728
289	0.09427196984
290	0.09395845466
291	0.09376762945
292	0.09340651859
293	0.09317069251
294	0.0928400431
295	0.09253161381
296	0.09223859725
297	0.09196633757
298	0.09166046096
299	0.09131301111
300	0.09110128269
301	0.09084124335
302	0.09045465237
303	0.0900137397
304	0.08962550807
305	0.08945128512
306	0.08909589921
307	0.08889895854
308	0.08858323517
309	0.08829858257
310	0.08808785232
311	0.08785624087
312	0.08761267833
313	0.08742456621
314	0.08716347218
315	0.08684291012
316	0.08653697847
317	0.08617248261
318	0.08583950038
319	0.0855537321
320	0.08533608971
321	0.08504975141
322	0.08462523468
323	0.08437037266
324	0.08426873474
325	0.08407030795
326	0.08380845392
327	0.08357331566
328	0.08331704848
329	0.08305884999
330	0.08285187996
331	0.08250470752
332	0.08218849915
333	0.08205380703
334	0.08178811835
335	0.08146815782
336	0.08128819298
337	0.0811046048
338	0.08094950594
339	0.08061061172
340	0.08030895862
341	0.08000627912
342	0.07975914342
343	0.0795743732
344	0.07937809945
345	0.07929403019
346	0.07906085273
347	0.07882938295
348	0.07857802374
349	0.07838828898
350	0.07819127563
351	0.07802030932
352	0.07781547875
353	0.07759841003
354	0.07743835511
355	0.07731205696
356	0.07713515028
357	0.07678609645
358	0.07658482372
359	0.07638608514
360	0.07619118022
361	0.0760919789
362	0.07580380444
363	0.07549373825
364	0.07537112463
365	0.07523746035
366	0.07499086354
367	0.07483238137
368	0.07455173504
369	0.07429945924
370	0.07410507091
371	0.07394325437
372	0.07375833981
373	0.07366796939
374	0.07357304735
375	0.07332758086
376	0.07313142384
377	0.07291651925
378	0.07273595062
379	0.07264706285
380	0.07245022411
381	0.07219962967
382	0.07201071689
383	0.07180129393
384	0.07160126319
385	0.07144857077
386	0.07129595125
387	0.07113614937
388	0.07093054954
389	0.07070750432
390	0.07045330543
391	0.07021483458
392	0.07002339624
393	0.06986740138
394	0.06967759863
395	0.06957887145
396	0.06940630645
397	0.06919531538
398	0.06898781332
399	0.06877798671
400	0.06852549835
401	0.06835696636
402	0.06814632044
403	0.06801301621
404	0.06786039384
405	0.06763963583
406	0.0673635243
407	0.06722257451
408	0.0670490475
409	0.06693764922
410	0.06680250776
411	0.06664964372
412	0.06649416404
413	0.06628939282
414	0.06606591225
415	0.06587153113
416	0.06566511084
417	0.06554927374
418	0.06536977176
419	0.0652177519
420	0.06509999541
421	0.06496587742
422	0.06476118777
423	0.0646439281
424	0.06450621409
425	0.06439720354
426	0.06424439992
427	0.06410121769
428	0.06392216441
429	0.0637127526
430	0.0635766171
431	0.06344291823
432	0.06331897478
433	0.06319896861
434	0.06306667668
435	0.06295705072
436	0.06284482418
437	0.06275615579
438	0.0626326102
439	0.06248078645
440	0.06233597126
441	0.06217161565
442	0.06200665414
443	0.06187332535
444	0.06175237509
445	0.06157854778
446	0.06133044608
447	0.06117703379
448	0.06101022988
449	0.06080358025
450	0.06065833197
451	0.06053700025
452	0.06043369093
453	0.06030641428
454	0.06018843699
455	0.06004749344
456	0.05997416926
457	0.0598976662
458	0.05977119949
459	0.05966146402
460	0.05953513373
461	0.05942114228
462	0.05930878308
463	0.05921685879
464	0.0591001341
465	0.05899040063
466	0.0588273568
467	0.05868415952
468	0.05859597996
469	0.05840229839
470	0.05830322873
471	0.05818253215
472	0.05809720242
473	0.05794438898
474	0.05784210925
475	0.05770855678
476	0.05760853183
477	0.05750422692
478	0.05739959752
479	0.05728669546
480	0.05718228883
481	0.05706235556
482	0.05698621452
483	0.0568150199
484	0.05664596914
485	0.05657725541
486	0.05650519681
487	0.05636943806
488	0.05623763708
489	0.05616573238
490	0.0560612777
491	0.05596911522
492	0.05590080498
493	0.05574727929
494	0.05561980528
495	0.05546828657
496	0.05533621647
497	0.05516413904
498	0.05507397186
499	0.05499965104
